exercise_name,video_url
pushup,https://www.youtube.com/watch?v=WDIpL0pjun0
squat,https://www.youtube.com/shorts/iZTxa8NJH2g
situp,https://www.youtube.com/shorts/qXpYgvQ6_m4
pullup,https://www.youtube.com/shorts/eDP_OOhMTZ4
benchpress,https://www.youtube.com/shorts/hWbUlkb5Ms4
bicepcurl,https://www.youtube.com/shorts/iui51E31sX8
lunge,https://www.youtube.com/shorts/TwEH620Pn6A
inclinedumbbellcurl,https://www.youtube.com/watch?v=UeleXjsE-98&t=1s
hammercurl,https://www.muscleandstrength.com/exercises/standing-hammer-curl.html
ezbarcurl,https://www.muscleandstrength.com/exercises/ez-bar-curl.html
spidercurl,https://www.muscleandstrength.com/exercises/spider-curl.html
latpulldown,https://www.youtube.com/watch?v=iKrKgWR9wbY
chinup,https://www.youtube.com/watch?v=1EJ3A3rEtlo&t=1s
bentoverrow,https://www.muscleandstrength.com/exercises/bent-over-barbell-row.html
inclinebenchpress,https://www.youtube.com/watch?v=uIzbJX5EVIY
chestdip,https://www.muscleandstrength.com/exercises/chest-dip.html
general,https://www.muscleandstrength.com/exercises